,,,Prevalence of Diagnosed Health Conditions by State and Household Income,Prevalence of Diagnosed Health Conditions by State and Household Income,Prevalence of Diagnosed Health Conditions by State and Household Income
New Jersey,Hypertension,18+,2015,Percent,34%
New Jersey,Hypertension,18+,2015,Num of persons,"429,550"
New Jersey,Hypertension,18+,2016,Percent,NA
New Jersey,Hypertension,18+,2016,Num of persons,NA
New Mexico,Arthritis,18+,2013,Percent,27%
New Mexico,Arthritis,18+,2013,Num of persons,"149,089"
New Mexico,Arthritis,18+,2014,Percent,28%
New Mexico,Arthritis,18+,2014,Num of persons,"149,041"
New Mexico,Arthritis,18+,2015,Percent,28%
New Mexico,Arthritis,18+,2015,Num of persons,"140,153"
New Mexico,Arthritis,18+,2016,Percent,30%
New Mexico,Arthritis,18+,2016,Num of persons,"158,384"
New Mexico,Asthma (current),18+,2013,Percent,10%
New Mexico,Asthma (current),18+,2013,Num of persons,"53,743"
New Mexico,Asthma (current),18+,2014,Percent,12%
New Mexico,Asthma (current),18+,2014,Num of persons,"64,372"
New Mexico,Asthma (current),18+,2015,Percent,12%
New Mexico,Asthma (current),18+,2015,Num of persons,"60,383"
New Mexico,Asthma (current),18+,2016,Percent,12%
New Mexico,Asthma (current),18+,2016,Num of persons,"63,428"
New Mexico,Cancer,18+,2013,Percent,9%
New Mexico,Cancer,18+,2013,Num of persons,"49,633"
New Mexico,Cancer,18+,2014,Percent,9%
New Mexico,Cancer,18+,2014,Num of persons,"48,251"
New Mexico,Cancer,18+,2015,Percent,9%
New Mexico,Cancer,18+,2015,Num of persons,"44,503"
New Mexico,Cancer,18+,2016,Percent,10%
New Mexico,Cancer,18+,2016,Num of persons,"51,326"
New Mexico,Chronic kidney disease,18+,2013,Percent,4%
New Mexico,Chronic kidney disease,18+,2013,Num of persons,"22,194"
New Mexico,Chronic kidney disease,18+,2014,Percent,4%
New Mexico,Chronic kidney disease,18+,2014,Num of persons,"24,039"
New Mexico,Chronic kidney disease,18+,2015,Percent,4%
New Mexico,Chronic kidney disease,18+,2015,Num of persons,"19,415"
New Mexico,Chronic kidney disease,18+,2016,Percent,4%
New Mexico,Chronic kidney disease,18+,2016,Num of persons,"22,064"
New Mexico,COPD,18+,2013,Percent,8%
New Mexico,COPD,18+,2013,Num of persons,"44,228"
New Mexico,COPD,18+,2014,Percent,8%
New Mexico,COPD,18+,2014,Num of persons,"40,668"
New Mexico,COPD,18+,2015,Percent,9%
New Mexico,COPD,18+,2015,Num of persons,"46,191"
New Mexico,COPD,18+,2016,Percent,7%
New Mexico,COPD,18+,2016,Num of persons,"38,100"
New Mexico,Depression,18+,2013,Percent,25%
New Mexico,Depression,18+,2013,Num of persons,"134,705"
New Mexico,Depression,18+,2014,Percent,27%
New Mexico,Depression,18+,2014,Num of persons,"146,179"
New Mexico,Depression,18+,2015,Percent,26%
New Mexico,Depression,18+,2015,Num of persons,"129,496"
New Mexico,Depression,18+,2016,Percent,23%
New Mexico,Depression,18+,2016,Num of persons,"122,739"
New Mexico,Diabetes,18+,2013,Percent,14%
New Mexico,Diabetes,18+,2013,Num of persons,"76,644"
New Mexico,Diabetes,18+,2014,Percent,15%
New Mexico,Diabetes,18+,2014,Num of persons,"81,999"
New Mexico,Diabetes,18+,2015,Percent,16%
New Mexico,Diabetes,18+,2015,Num of persons,"82,708"
New Mexico,Diabetes,18+,2016,Percent,16%
New Mexico,Diabetes,18+,2016,Num of persons,"82,829"
New Mexico,Pre-diabetes or borderline diabetes,18+,2013,Percent,7%
New Mexico,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"37,931"
New Mexico,Pre-diabetes or borderline diabetes,18+,2014,Percent,8%
New Mexico,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"44,680"
New Mexico,Pre-diabetes or borderline diabetes,18+,2015,Percent,7%
New Mexico,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"37,284"
New Mexico,Pre-diabetes or borderline diabetes,18+,2016,Percent,10%
New Mexico,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"51,029"
New Mexico,Heart disease (angina or CHD),18+,2013,Percent,4%
New Mexico,Heart disease (angina or CHD),18+,2013,Num of persons,"22,175"
New Mexico,Heart disease (angina or CHD),18+,2014,Percent,5%
New Mexico,Heart disease (angina or CHD),18+,2014,Num of persons,"27,143"
New Mexico,Heart disease (angina or CHD),18+,2015,Percent,5%
New Mexico,Heart disease (angina or CHD),18+,2015,Num of persons,"23,694"
New Mexico,Heart disease (angina or CHD),18+,2016,Percent,4%
New Mexico,Heart disease (angina or CHD),18+,2016,Num of persons,"22,851"
New Mexico,High cholesterol (among those tested),18+,2013,Percent,38%
New Mexico,High cholesterol (among those tested),18+,2013,Num of persons,"135,204"
New Mexico,High cholesterol (among those tested),18+,2014,Percent,NA
New Mexico,High cholesterol (among those tested),18+,2014,Num of persons,NA
New Mexico,High cholesterol (among those tested),18+,2015,Percent,36%
New Mexico,High cholesterol (among those tested),18+,2015,Num of persons,"120,726"
New Mexico,High cholesterol (among those tested),18+,2016,Percent,NA
New Mexico,High cholesterol (among those tested),18+,2016,Num of persons,NA
New Mexico,Hypertension,18+,2013,Percent,31%
New Mexico,Hypertension,18+,2013,Num of persons,"172,990"
New Mexico,Hypertension,18+,2014,Percent,NA
New Mexico,Hypertension,18+,2014,Num of persons,NA
New Mexico,Hypertension,18+,2015,Percent,34%
New Mexico,Hypertension,18+,2015,Num of persons,"172,003"
New Mexico,Hypertension,18+,2016,Percent,NA
New Mexico,Hypertension,18+,2016,Num of persons,NA
Nevada,Arthritis,18+,2013,Percent,23%
Nevada,Arthritis,18+,2013,Num of persons,"129,264"
Nevada,Arthritis,18+,2014,Percent,22%
Nevada,Arthritis,18+,2014,Num of persons,"119,683"
Nevada,Arthritis,18+,2015,Percent,24%
Nevada,Arthritis,18+,2015,Num of persons,"120,983"
Nevada,Arthritis,18+,2016,Percent,29%
Nevada,Arthritis,18+,2016,Num of persons,"149,251"
Nevada,Asthma (current),18+,2013,Percent,10%
Nevada,Asthma (current),18+,2013,Num of persons,"55,276"
Nevada,Asthma (current),18+,2014,Percent,9%
Nevada,Asthma (current),18+,2014,Num of persons,"45,829"
Nevada,Asthma (current),18+,2015,Percent,9%
Nevada,Asthma (current),18+,2015,Num of persons,"46,235"
Nevada,Asthma (current),18+,2016,Percent,10%
Nevada,Asthma (current),18+,2016,Num of persons,"51,635"
Nevada,Cancer,18+,2013,Percent,10%
Nevada,Cancer,18+,2013,Num of persons,"54,165"
Nevada,Cancer,18+,2014,Percent,10%
Nevada,Cancer,18+,2014,Num of persons,"52,869"
Nevada,Cancer,18+,2015,Percent,10%
Nevada,Cancer,18+,2015,Num of persons,"49,876"
Nevada,Cancer,18+,2016,Percent,9%
Nevada,Cancer,18+,2016,Num of persons,"46,035"
Nevada,Chronic kidney disease,18+,2013,Percent,6%
Nevada,Chronic kidney disease,18+,2013,Num of persons,"31,946"
Nevada,Chronic kidney disease,18+,2014,Percent,4%
Nevada,Chronic kidney disease,18+,2014,Num of persons,"22,772"
Nevada,Chronic kidney disease,18+,2015,Percent,4%
Nevada,Chronic kidney disease,18+,2015,Num of persons,"22,467"
Nevada,Chronic kidney disease,18+,2016,Percent,5%
Nevada,Chronic kidney disease,18+,2016,Num of persons,"24,839"
Nevada,COPD,18+,2013,Percent,8%
Nevada,COPD,18+,2013,Num of persons,"46,773"
Nevada,COPD,18+,2014,Percent,10%
Nevada,COPD,18+,2014,Num of persons,"54,096"
Nevada,COPD,18+,2015,Percent,11%
Nevada,COPD,18+,2015,Num of persons,"53,490"
Nevada,COPD,18+,2016,Percent,12%
Nevada,COPD,18+,2016,Num of persons,"58,816"
Nevada,Depression,18+,2013,Percent,24%
Nevada,Depression,18+,2013,Num of persons,"134,596"
Nevada,Depression,18+,2014,Percent,23%
Nevada,Depression,18+,2014,Num of persons,"121,576"
Nevada,Depression,18+,2015,Percent,24%
Nevada,Depression,18+,2015,Num of persons,"122,408"
Nevada,Depression,18+,2016,Percent,23%
Nevada,Depression,18+,2016,Num of persons,"116,226"
Nevada,Diabetes,18+,2013,Percent,12%
Nevada,Diabetes,18+,2013,Num of persons,"68,326"
Nevada,Diabetes,18+,2014,Percent,12%
Nevada,Diabetes,18+,2014,Num of persons,"66,290"
Nevada,Diabetes,18+,2015,Percent,14%
Nevada,Diabetes,18+,2015,Num of persons,"73,660"
Nevada,Diabetes,18+,2016,Percent,15%
Nevada,Diabetes,18+,2016,Num of persons,"76,769"
Nevada,Pre-diabetes or borderline diabetes,18+,2013,Percent,7%
Nevada,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"37,539"
Nevada,Pre-diabetes or borderline diabetes,18+,2014,Percent,6%
Nevada,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"30,681"
Nevada,Pre-diabetes or borderline diabetes,18+,2015,Percent,2%
Nevada,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"11,699"
Nevada,Pre-diabetes or borderline diabetes,18+,2016,Percent,10%
Nevada,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"53,243"
Nevada,Heart disease (angina or CHD),18+,2013,Percent,5%
Nevada,Heart disease (angina or CHD),18+,2013,Num of persons,"27,219"
Nevada,Heart disease (angina or CHD),18+,2014,Percent,4%
Nevada,Heart disease (angina or CHD),18+,2014,Num of persons,"23,730"
Nevada,Heart disease (angina or CHD),18+,2015,Percent,7%
Nevada,Heart disease (angina or CHD),18+,2015,Num of persons,"35,796"
Nevada,Heart disease (angina or CHD),18+,2016,Percent,6%
Nevada,Heart disease (angina or CHD),18+,2016,Num of persons,"30,076"
Nevada,High cholesterol (among those tested),18+,2013,Percent,42%
Nevada,High cholesterol (among those tested),18+,2013,Num of persons,"143,221"
Nevada,High cholesterol (among those tested),18+,2014,Percent,NA
Nevada,High cholesterol (among those tested),18+,2014,Num of persons,NA
Nevada,High cholesterol (among those tested),18+,2015,Percent,46%
Nevada,High cholesterol (among those tested),18+,2015,Num of persons,"165,611"
Nevada,High cholesterol (among those tested),18+,2016,Percent,NA
Nevada,High cholesterol (among those tested),18+,2016,Num of persons,NA
Nevada,Hypertension,18+,2013,Percent,38%
Nevada,Hypertension,18+,2013,Num of persons,"212,458"
Nevada,Hypertension,18+,2014,Percent,NA
Nevada,Hypertension,18+,2014,Num of persons,NA
Nevada,Hypertension,18+,2015,Percent,28%
Nevada,Hypertension,18+,2015,Num of persons,"145,454"
Nevada,Hypertension,18+,2016,Percent,NA
Nevada,Hypertension,18+,2016,Num of persons,NA
New York,Arthritis,18+,2013,Percent,31%
New York,Arthritis,18+,2013,Num of persons,"1,259,765"
New York,Arthritis,18+,2014,Percent,29%
New York,Arthritis,18+,2014,Num of persons,"1,148,581"
New York,Arthritis,18+,2015,Percent,27%
New York,Arthritis,18+,2015,Num of persons,"1,017,595"
New York,Arthritis,18+,2016,Percent,27%
New York,Arthritis,18+,2016,Num of persons,"1,006,561"
New York,Asthma (current),18+,2013,Percent,13%
New York,Asthma (current),18+,2013,Num of persons,"555,359"
New York,Asthma (current),18+,2014,Percent,15%
New York,Asthma (current),18+,2014,Num of persons,"578,608"
New York,Asthma (current),18+,2015,Percent,12%
New York,Asthma (current),18+,2015,Num of persons,"459,822"
New York,Asthma (current),18+,2016,Percent,13%
New York,Asthma (current),18+,2016,Num of persons,"466,927"
New York,Cancer,18+,2013,Percent,7%
New York,Cancer,18+,2013,Num of persons,"302,611"
New York,Cancer,18+,2014,Percent,8%
New York,Cancer,18+,2014,Num of persons,"300,424"
New York,Cancer,18+,2015,Percent,8%
New York,Cancer,18+,2015,Num of persons,"299,982"
New York,Cancer,18+,2016,Percent,7%
New York,Cancer,18+,2016,Num of persons,"271,171"
New York,Chronic kidney disease,18+,2013,Percent,3%
New York,Chronic kidney disease,18+,2013,Num of persons,"130,245"
New York,Chronic kidney disease,18+,2014,Percent,3%
New York,Chronic kidney disease,18+,2014,Num of persons,"117,848"
New York,Chronic kidney disease,18+,2015,Percent,3%
New York,Chronic kidney disease,18+,2015,Num of persons,"122,865"
New York,Chronic kidney disease,18+,2016,Percent,4%
New York,Chronic kidney disease,18+,2016,Num of persons,"137,079"
New York,COPD,18+,2013,Percent,9%
New York,COPD,18+,2013,Num of persons,"360,934"
New York,COPD,18+,2014,Percent,10%
New York,COPD,18+,2014,Num of persons,"374,434"
New York,COPD,18+,2015,Percent,9%
New York,COPD,18+,2015,Num of persons,"335,727"
New York,COPD,18+,2016,Percent,8%
New York,COPD,18+,2016,Num of persons,"302,796"
New York,Depression,18+,2013,Percent,24%
New York,Depression,18+,2013,Num of persons,"978,950"
New York,Depression,18+,2014,Percent,25%
New York,Depression,18+,2014,Num of persons,"962,043"
New York,Depression,18+,2015,Percent,23%
New York,Depression,18+,2015,Num of persons,"865,213"
New York,Depression,18+,2016,Percent,17%
New York,Depression,18+,2016,Num of persons,"646,085"
New York,Diabetes,18+,2013,Percent,16%
New York,Diabetes,18+,2013,Num of persons,"666,231"
New York,Diabetes,18+,2014,Percent,15%
New York,Diabetes,18+,2014,Num of persons,"578,622"
New York,Diabetes,18+,2015,Percent,14%
New York,Diabetes,18+,2015,Num of persons,"519,038"
New York,Diabetes,18+,2016,Percent,16%
New York,Diabetes,18+,2016,Num of persons,"593,207"
New York,Pre-diabetes or borderline diabetes,18+,2013,Percent,2%
New York,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"80,780"
New York,Pre-diabetes or borderline diabetes,18+,2014,Percent,1%
New York,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"52,889"
New York,Pre-diabetes or borderline diabetes,18+,2015,Percent,2%
New York,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"69,462"
New York,Pre-diabetes or borderline diabetes,18+,2016,Percent,9%
New York,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"330,648"
New York,Heart disease (angina or CHD),18+,2013,Percent,7%
New York,Heart disease (angina or CHD),18+,2013,Num of persons,"273,331"
New York,Heart disease (angina or CHD),18+,2014,Percent,6%
New York,Heart disease (angina or CHD),18+,2014,Num of persons,"232,050"
New York,Heart disease (angina or CHD),18+,2015,Percent,5%
New York,Heart disease (angina or CHD),18+,2015,Num of persons,"179,915"
New York,Heart disease (angina or CHD),18+,2016,Percent,6%
New York,Heart disease (angina or CHD),18+,2016,Num of persons,"205,132"
New York,High cholesterol (among those tested),18+,2013,Percent,43%
New York,High cholesterol (among those tested),18+,2013,Num of persons,"1,333,719"
New York,High cholesterol (among those tested),18+,2014,Percent,NA
New York,High cholesterol (among those tested),18+,2014,Num of persons,NA
New York,High cholesterol (among those tested),18+,2015,Percent,41%
New York,High cholesterol (among those tested),18+,2015,Num of persons,"1,157,170"
New York,High cholesterol (among those tested),18+,2016,Percent,NA
New York,High cholesterol (among those tested),18+,2016,Num of persons,NA
New York,Hypertension,18+,2013,Percent,37%
New York,Hypertension,18+,2013,Num of persons,"1,529,617"
New York,Hypertension,18+,2014,Percent,NA
New York,Hypertension,18+,2014,Num of persons,NA
New York,Hypertension,18+,2015,Percent,35%
New York,Hypertension,18+,2015,Num of persons,"1,337,239"
New York,Hypertension,18+,2016,Percent,NA
New York,Hypertension,18+,2016,Num of persons,NA
Ohio,Arthritis,18+,2013,Percent,38%
Ohio,Arthritis,18+,2013,Num of persons,"906,805"
Ohio,Arthritis,18+,2014,Percent,40%
Ohio,Arthritis,18+,2014,Num of persons,"919,929"
Ohio,Arthritis,18+,2015,Percent,37%
Ohio,Arthritis,18+,2015,Num of persons,"762,908"
Ohio,Arthritis,18+,2016,Percent,42%
Ohio,Arthritis,18+,2016,Num of persons,"887,778"
Ohio,Asthma (current),18+,2013,Percent,15%
Ohio,Asthma (current),18+,2013,Num of persons,"359,833"
Ohio,Asthma (current),18+,2014,Percent,17%
Ohio,Asthma (current),18+,2014,Num of persons,"385,028"
Ohio,Asthma (current),18+,2015,Percent,17%
Ohio,Asthma (current),18+,2015,Num of persons,"352,183"
Ohio,Asthma (current),18+,2016,Percent,15%
Ohio,Asthma (current),18+,2016,Num of persons,"321,525"
Ohio,Cancer,18+,2013,Percent,12%
Ohio,Cancer,18+,2013,Num of persons,"277,946"
Ohio,Cancer,18+,2014,Percent,12%
Ohio,Cancer,18+,2014,Num of persons,"277,551"
Ohio,Cancer,18+,2015,Percent,12%
Ohio,Cancer,18+,2015,Num of persons,"256,552"
Ohio,Cancer,18+,2016,Percent,12%
Ohio,Cancer,18+,2016,Num of persons,"257,916"
Ohio,Chronic kidney disease,18+,2013,Percent,4%
Ohio,Chronic kidney disease,18+,2013,Num of persons,"84,239"
Ohio,Chronic kidney disease,18+,2014,Percent,5%
Ohio,Chronic kidney disease,18+,2014,Num of persons,"116,615"
Ohio,Chronic kidney disease,18+,2015,Percent,6%
Ohio,Chronic kidney disease,18+,2015,Num of persons,"114,991"
Ohio,Chronic kidney disease,18+,2016,Percent,5%
Ohio,Chronic kidney disease,18+,2016,Num of persons,"108,264"
Ohio,COPD,18+,2013,Percent,15%
Ohio,COPD,18+,2013,Num of persons,"350,383"
Ohio,COPD,18+,2014,Percent,16%
Ohio,COPD,18+,2014,Num of persons,"359,558"
Ohio,COPD,18+,2015,Percent,15%
Ohio,COPD,18+,2015,Num of persons,"317,245"
Ohio,COPD,18+,2016,Percent,18%
Ohio,COPD,18+,2016,Num of persons,"381,417"
Ohio,Depression,18+,2013,Percent,32%
Ohio,Depression,18+,2013,Num of persons,"760,808"
Ohio,Depression,18+,2014,Percent,34%
Ohio,Depression,18+,2014,Num of persons,"774,911"
Ohio,Depression,18+,2015,Percent,31%
Ohio,Depression,18+,2015,Num of persons,"650,121"
Ohio,Depression,18+,2016,Percent,31%
Ohio,Depression,18+,2016,Num of persons,"660,481"
Ohio,Diabetes,18+,2013,Percent,14%
Ohio,Diabetes,18+,2013,Num of persons,"339,678"
Ohio,Diabetes,18+,2014,Percent,18%
Ohio,Diabetes,18+,2014,Num of persons,"408,744"
Ohio,Diabetes,18+,2015,Percent,14%
Ohio,Diabetes,18+,2015,Num of persons,"296,938"
Ohio,Diabetes,18+,2016,Percent,15%
Ohio,Diabetes,18+,2016,Num of persons,"331,178"
Ohio,Pre-diabetes or borderline diabetes,18+,2013,Percent,2%
Ohio,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"46,833"
Ohio,Pre-diabetes or borderline diabetes,18+,2014,Percent,8%
Ohio,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"172,768"
Ohio,Pre-diabetes or borderline diabetes,18+,2015,Percent,8%
Ohio,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"159,051"
Ohio,Pre-diabetes or borderline diabetes,18+,2016,Percent,1%
Ohio,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"22,410"
